tract,town
9009184100, Branford
9009184200, Branford
9009184300, Branford
9009184400, Branford
9009184500, Branford
9009184600, Branford
9009184700, Branford
9009186100, North Branford
9009186200, North Branford
9009190100, Guilford
9009190200, Guilford
9009190301, Guilford
9009190302, Guilford
9009190303, Guilford
9009194100, Madison
9009194201, Madison
9009194202, Madison
9009341100, Beacon Falls
9009343101, Cheshire
9009343102, Cheshire
9009343200, Cheshire
9009343300, Cheshire
9009343400, Cheshire
9009344100, Middlebury
9009344200, Middlebury
9009345100, Naugatuck
9009345201, Naugatuck
9009345202, Naugatuck
9009345300, Naugatuck
9009345400, Naugatuck
9009346101, Oxford
9009346102, Oxford
9009347100, Prospect
9009347200, Prospect
9009348111, Southbury
9009348122, Southbury
9009348123, Southbury
9009348124, Southbury
9009348125, Southbury
9009350100, Waterbury
9009350200, Waterbury
9009350300, Waterbury
9009350400, Waterbury
9009350500, Waterbury
9009350800, Waterbury
9009350900, Waterbury
9009351000, Waterbury
9009351100, Waterbury
9009351200, Waterbury
9009351300, Waterbury
9009351400, Waterbury
9009351500, Waterbury
9009351601, Waterbury
9009351602, Waterbury
9009351700, Waterbury
9009351800, Waterbury
9009351900, Waterbury
9009352000, Waterbury
9009352100, Waterbury
9009352200, Waterbury
9009352300, Waterbury
9009352400, Waterbury
9009352500, Waterbury
9009352600, Waterbury
9009352701, Waterbury
9009352702, Waterbury
9009352800, Waterbury
9009361100, Wolcott
9009361200, Wolcott
9009361300, Wolcott
9009361401, New Haven
9009361402, New Haven
9009361500, West Haven
9011650100, Lyme
9011660101, Old Lyme
9011660102, OldLyme
9011690300, New London
9011690400, New London
9011690500, New London
9011690700, New London
9011690800, New London
9011690900, New London
9011693300, Waterford
9011693400, Waterford
9011693500, Waterford
9011693600, Waterford
9011693700, Waterford
9011695201, Montville
9011695202, Montville
9011696100, Norwich
9011696200, Norwich
9011696300, Norwich
9011696400, Norwich
9011696500, Norwich
9011696600, Norwich
9011696700, Norwich
9011696800, Norwich
9011697000, Norwich
9011700100, Preston
9011701100, Ledyard
9011701200, Ledyard
9011702100, Groton
9011702300, Groton
9011702400, Groton
9011702500, Groton
9011702600, Groton
9011702700, Groton
9011702800, Groton
9011702900, Groton
9011703000, Groton
9011705101, Stonington
9011705102, Stonington
9011705200, Stonington
9011705300, Stonington
9011705400, Stonington
9011707100, Stonington
9011708100, North Stonington
9011709100, Griswold
9011709200, Griswold
9011710100, Lisbon
9011711100, Sprague
9011712100, Franklin
9011713100, Bozrah
9011714101, Colchester
9011714103, Colchester
9011714104, Colchester
9011715100, Salem
9011716101, East Lyme
9011716102, East Lyme
9011870100, Lebanon
9011870200, Groton
9011870300, New London
9011870501, Ledyard
9011870502, Ledyard
9011870701, East Lyme
9011870703, East Lyme
9011870704, East Lyme
9011980000, Groton
9011990100, OldSaybrook
9013526101, Hebron
9013526102, Hebron
9013528100, Bolton
9013529100, Vernon
9013530100, Vernon
9013530200, Vernon
9013530301, Vernon
9013530302, Vernon
9013530400, Vernon
9013530500, Vernon
9013530600, Vernon
9013533101, Tolland
9013533102, Tolland
9013535100, Ellington
9013535200, Ellington
9013538100, Somers
9013538201, Somers
9013538202, Somers
9013840100, Willington
9013850100, Coventry
9013850200, Coventry
9013860100, Columbia
9013881100, Mansfield
9013881200, Mansfield
9013881300, Mansfield
9013881500, Mansfield
9013890100, Stafford
9013890201, Stafford
9013890202, Stafford
9015800300, Windham
9015800400, Windham
9015800500, Windham
9015800600, Windham
9015800700, Windham
9015815000, Chaplin
9015820000, Hampton
9015825000, Scotland
9015830100, Ashford
9015900100, Thompson
9015900200, Thompson
9015901100, Woodstock
9015902200, Eastford
9015902500, Pomfret
9015903100, Putnam
9015903200, Putnam
9015904100, Killingly
9015904400, Killingly
9015904500, Killingly
9015905100, Brooklyn
9015906100, Canterbury
9015907100, Plainfield
9015907200, Plainfield
9015907300, Plainfield
9015908100, Sterling
