id,address,city,state,zip,country,lat,lon,type
300782,339 Main St,Saugus,MA,1906,US,42.472831,-71.036857,Dunkin Donuts
300784,1410 Route 38,Cherry Hill,NJ,8002,US,39.937489,-75.036244,Dunkin Donuts
300785,134 Newton Rd Unit #14,Plaistow,NH,3865,US,42.833036,-71.056706,Dunkin Donuts
300786,865 State Route 35,Middletown,NJ,7748,US,40.39315,-74.101319,Dunkin Donuts
300787,74 State Route 37,New Fairfield,CT,6812,US,41.465883,-73.482103,Dunkin Donuts
300789,2102 Main St,Cortlandt Manor,NY,10567,US,41.305075,-73.879242,Dunkin Donuts
300791,11 Austin St,Charlestown,MA,2129,US,42.375847,-71.065736,Dunkin Donuts
300793,2300 E. Little Creek Rd,Norfolk,VA,23518,US,36.916072,-76.219758,Dunkin Donuts
300797,2720 S. Dixie Hwy,Miami,FL,33133,US,25.739175,-80.239514,Dunkin Donuts
300807,23 Starrett Dr,Belfast,ME,4915,US,44.423469,-69.019792,Dunkin Donuts
300810,600 Chester Pike,Norwood,PA,19074,US,39.886083,-75.301578,Dunkin Donuts
300812,1735 Stafford Rd,Tiverton,RI,2878,US,41.626222,-71.147506,Dunkin Donuts
300813,1470 New State Hwy,Raynham,MA,2767,US,41.904914,-71.011206,Dunkin Donuts
300820,206 N Dupont Hwy,Dover,DE,19901,US,39.168153,-75.517492,Dunkin Donuts
300826,3207 Lake Ave # 4-A,Wilmette,IL,60091,US,42.079163,-87.754801,Dunkin Donuts
300827,635 Mount Auburn St,Watertown,MA,2472,US,42.371501,-71.157802,Dunkin Donuts
300830,2451 Lincoln Hwy # Us,Trevose,PA,19053,US,40.122106,-74.976294,Dunkin Donuts
300837,217 S Salina St,Syracuse,NY,13202,US,43.048835,-76.151999,Dunkin Donuts
300838,79 Homer St,Waterbury,CT,6704,US,41.586183,-73.046992,Dunkin Donuts
300839,348 Main St,Melrose,MA,2176,US,42.452117,-71.067183,Dunkin Donuts
300841,1020 W 41st St,Baltimore,MD,21211,US,39.337662,-76.634617,Dunkin Donuts
300848,1583 Route 22,Brewster,NY,10509,US,41.426012,-73.578179,Dunkin Donuts
300849,411 W Main St,Stamford,CT,6902,US,41.048264,-73.554819,Dunkin Donuts
