"","type","lat","lon","sb_lat","sb_lon","feet","string_check","sb_name"
"1392","Starbucks",43.385365,-70.54211,43.474469,-70.513594,33350.87,"43.385365 -70.54211","43.474469 -70.513594"
"1393","Starbucks",39.968583,-78.519404,40.030747,-78.492319,23883.26,"39.968583 -78.519404","40.030747 -78.492319"
"1394","Starbucks",38.807017,-77.059617,38.802619,-77.061939,1733.12,"38.807017 -77.059617","38.802619 -77.061939"
"1395","Starbucks",39.179598,-76.667997,39.176934,-76.669812,1098.31,"39.179598 -76.667997","39.176934 -76.669812"
"1396","Starbucks",39.176934,-76.669812,39.179598,-76.667997,1098.31,"39.176934 -76.669812","39.179598 -76.667997"
"1397","Starbucks",35.220864,-80.944687,35.225266,-80.92908,4929.29,"35.220864 -80.944687","35.225266 -80.92908"
"1398","Starbucks",38.8993,-77.026517,38.899359,-77.027815,370.05,"38.8993 -77.026517","38.899359 -77.027815"
"1399","Starbucks",38.930874,-94.669499,38.912511,-94.660266,7185.62,"38.930874 -94.669499","38.912511 -94.660266"
"1400","Starbucks",40.75656,-73.97405,40.756423,-73.975073,287.78,"40.75656 -73.97405","40.756423 -73.975073"
"1401","Starbucks",43.038735,-87.918015,43.043032,-87.909938,2667.53,"43.038735 -87.918015","43.043032 -87.909938"
"1402","Starbucks",32.137665,-81.228165,32.135237,-81.230506,1142.55,"32.137665 -81.228165","32.135237 -81.230506"
"1403","Starbucks",39.296539,-94.717653,39.295055,-94.720663,1008.91,"39.296539 -94.717653","39.295055 -94.720663"
"1404","Starbucks",40.640249,-73.789447,40.641484,-73.788924,472.78,"40.640249 -73.789447","40.641484 -73.788924"
"1405","Starbucks",42.366954,-71.016337,42.370131,-71.019672,1467.26,"42.366954 -71.016337","42.370131 -71.019672"
"1406","Starbucks",42.966802,-85.672194,42.96647,-85.67469,678.97,"42.966802 -85.672194","42.96647 -85.67469"
"1407","Starbucks",40.85754,-82.26315,40.776203,-82.475823,65905.45,"40.85754 -82.26315","40.776203 -82.475823"
"1408","Starbucks",30.26282,-97.743883,30.265468,-97.740448,1450.39,"30.26282 -97.743883","30.265468 -97.740448"
"1409","Starbucks",33.741157,-78.818305,33.725396,-78.839915,8721.56,"33.741157 -78.818305","33.725396 -78.839915"
"1410","Starbucks",33.471129,-79.104403,33.554115,-79.047098,34885.99,"33.471129 -79.104403","33.554115 -79.047098"
"1411","Starbucks",38.9454,-77.446954,38.945477,-77.443505,981.38,"38.9454 -77.446954","38.945477 -77.443505"
"1412","Starbucks",38.958187,-77.449769,38.958127,-77.448742,292.87,"38.958187 -77.449769","38.958127 -77.448742"
"1413","Starbucks",33.435446,-111.998851,33.435433,-111.998099,229.48,"33.435446 -111.998851","33.435433 -111.998099"
"1414","Starbucks",42.347946,-71.03967,42.347488,-71.040334,245.11,"42.347946 -71.03967","42.347488 -71.040334"
"1415","Starbucks",36.099605,-80.247472,36.1135,-80.2422,5292.77,"36.099605 -80.247472","36.1135 -80.2422"
"1416","Starbucks",41.983225,-87.841015,41.987447,-87.836641,1944.58,"41.983225 -87.841015","41.987447 -87.836641"
"1417","Starbucks",26.525091,-82.191716,26.608168,-82.02315,62833.43,"26.525091 -82.191716","26.608168 -82.02315"
"1418","Starbucks",39.3579,-84.2487,39.350234,-84.262025,4689.96,"39.3579 -84.2487","39.350234 -84.262025"
"1419","Starbucks",32.8941,-97.0405,32.8941,-97.0404,30.7,"32.8941 -97.0405","32.8941 -97.0404"
"1420","Starbucks",40.57419,-79.796145,40.594475,-79.752945,14092.53,"40.57419 -79.796145","40.594475 -79.752945"
"1421","Starbucks",38.606717,-121.268371,38.594513,-121.284294,6361.2,"38.606717 -121.268371","38.594513 -121.284294"
"1422","Starbucks",41.733244,-86.005071,41.728708,-86.004865,1653.87,"41.733244 -86.005071","41.728708 -86.004865"
"1423","Starbucks",41.728708,-86.004865,41.733244,-86.005071,1653.87,"41.728708 -86.004865","41.733244 -86.005071"
"1424","Starbucks",42.2139,-83.3507,42.198383,-83.258623,25580.27,"42.2139 -83.3507","42.198383 -83.258623"
"1425","Starbucks",47.617587,-122.193144,47.615946,-122.196535,1028.5,"47.617587 -122.193144","47.615946 -122.196535"
"1426","Starbucks",27.968398,-82.565708,27.980453,-82.538108,9928.66,"27.968398 -82.565708","27.980453 -82.538108"
"1427","Starbucks",28.478902,-81.457458,28.48168,-81.458092,1030.43,"28.478902 -81.457458","28.48168 -81.458092"
"1428","Starbucks",38.25349,-85.754921,38.254923,-85.75674,738.38,"38.25349 -85.754921","38.254923 -85.75674"
"1429","Starbucks",33.946424,-118.39094,33.946481,-118.384511,1949.96,"33.946424 -118.39094","33.946481 -118.384511"
"1430","Starbucks",36.081304,-115.147253,36.084561,-115.14968,1385.72,"36.081304 -115.147253","36.084561 -115.14968"
"1431","Starbucks",42.364545,-71.021569,42.36205,-71.019871,1018.52,"42.364545 -71.021569","42.36205 -71.019871"
"1432","Starbucks",38.860595,-77.050332,38.858457,-77.049916,787.66,"38.860595 -77.050332","38.858457 -77.049916"
"1433","Starbucks",35.051999,-89.981709,35.051943,-89.981775,28.39,"35.051999 -89.981709","35.051943 -89.981775"
"1434","Starbucks",37.785789,-122.396738,37.785088,-122.399788,917.67,"37.785789 -122.396738","37.785088 -122.399788"
"1435","Starbucks",40.648321,-73.791727,40.642643,-73.791282,2072.35,"40.648321 -73.791727","40.642643 -73.791282"
"1436","Starbucks",35.051943,-89.981775,35.05194,-89.981776,1.13,"35.051943 -89.981775","35.05194 -89.981776"
"1437","Starbucks",21.33314,-157.924055,21.335024,-157.92367,696.81,"21.33314 -157.924055","21.335024 -157.92367"
"1438","Starbucks",33.616652,-117.879945,33.616224,-117.872406,2300.57,"33.616652 -117.879945","33.616224 -117.872406"
"1439","Starbucks",41.577848,-87.570825,41.600473,-87.558557,8901.25,"41.577848 -87.570825","41.600473 -87.558557"
"1440","Starbucks",42.017173,-87.922028,42.026313,-87.893668,8395.2,"42.017173 -87.922028","42.026313 -87.893668"
"1441","Starbucks",41.805734,-88.734478,41.931744,-88.77219,47054,"41.805734 -88.734478","41.931744 -88.77219"
"1442","Starbucks",42.24924,-87.905396,42.25021,-87.9461,11026.46,"42.24924 -87.905396","42.25021 -87.9461"
"1443","Starbucks",41.786085,-87.907348,41.7996,-87.9286,7605.36,"41.786085 -87.907348","41.7996 -87.9286"
"1444","Starbucks",36.165764,-86.78035,36.163646,-86.780073,775.38,"36.165764 -86.78035","36.163646 -86.780073"
"1445","Starbucks",29.985996,-95.333267,29.984296,-95.33207,725.18,"29.985996 -95.333267","29.984296 -95.33207"
"1446","Starbucks",44.97357,-93.276968,44.973953,-93.274735,594.54,"44.97357 -93.276968","44.973953 -93.274735"
"1447","Starbucks",25.794789,-80.269156,25.793342,-80.266348,1063.15,"25.794789 -80.269156","25.793342 -80.266348"
"1448","Starbucks",25.772571,-80.26377,25.783754,-80.26312,4070.28,"25.772571 -80.26377","25.783754 -80.26312"
"1449","Starbucks",37.836945,-77.450035,37.758632,-77.469724,29079.8,"37.836945 -77.450035","37.758632 -77.469724"
"1450","Starbucks",27.767937,-82.634155,27.77224,-82.63526,1604.73,"27.767937 -82.634155","27.77224 -82.63526"
"1451","Starbucks",36.97253,-77.393668,37.249478,-77.389503,100846.78,"36.97253 -77.393668","37.249478 -77.389503"
"1452","Starbucks",38.880765,-77.114484,38.88105,-77.111625,820.5,"38.880765 -77.114484","38.88105 -77.111625"
"1453","Starbucks",27.983214,-82.531645,27.980453,-82.538108,2314.99,"27.983214 -82.531645","27.980453 -82.538108"
"1454","Starbucks",33.434609,-111.999192,33.434069,-111.999246,197.19,"33.434609 -111.999192","33.434069 -111.999246"
"1455","Starbucks",26.528241,-81.755748,26.528663,-81.757229,507.98,"26.528241 -81.755748","26.528663 -81.757229"
