"","type","lat","lon","dd_lat","dd_lon","feet"
"1456","Starbucks",26.528663,-81.757229,26.529061,-81.756422,300.93
"1457","Starbucks",26.527919,-81.753309,26.527498,-81.755354,685.98
"1458","Starbucks",38.249737,-85.75784,38.235947,-85.717604,12600.28
"1459","Starbucks",45.520804,-122.682612,41.159306,-111.940207,3266401.91
"1460","Starbucks",36.056736,-115.140856,36.05488,-115.1691,8376.34
"1461","Starbucks",36.056736,-115.140856,36.05488,-115.1691,8376.34
"1462","Starbucks",35.053265,-89.990394,35.136466,-90.009862,30838.97
"1463","Starbucks",41.976121,-87.901038,41.97545,-87.901254,251.48
"1464","Starbucks",36.08416,-115.151731,36.05488,-115.1691,11830.97
"1465","Starbucks",32.711711,-117.17072,32.711667,-117.170458,82.17
"1466","Starbucks",33.656602,-101.82238,33.522334,-101.870004,50966.93
"1467","Starbucks",34.151988,-118.336359,33.225323,-117.392682,442850.44
"1468","Starbucks",28.355521,-80.607716,28.370694,-80.605447,5564.98
"1469","Starbucks",38.901676,-77.023496,38.89781,-77.02059,1633.01
"1470","Starbucks",32.8933,-97.0407,32.892205,-97.036603,1319.28
"1471","Starbucks",32.8942,-97.0404,32.892205,-97.036603,1373.13
"1472","Starbucks",32.8934,-97.0406,32.892205,-97.036603,1301.74
"1473","Starbucks",32.8942,-97.0404,32.892205,-97.036603,1373.13
"1474","Starbucks",32.894,-97.0405,32.892205,-97.036603,1362.95
"1475","Starbucks",32.894,-97.0405,32.892205,-97.036603,1362.95
"1476","Starbucks",32.8941,-97.0404,32.892205,-97.036603,1354.25
"1477","Starbucks",32.894,-97.0405,32.892205,-97.036603,1362.95
"1478","Starbucks",32.894,-97.0405,32.892205,-97.036603,1362.95
"1479","Starbucks",32.894,-97.0405,32.892205,-97.036603,1362.95
"1480","Starbucks",39.6376,-75.7068,39.608505,-75.710114,10639.37
"1481","Starbucks",39.1276,-77.5307,39.108801,-77.552818,9288.05
"1482","Starbucks",32.214697,-111.046269,32.231561,-110.957837,28028.56
"1483","Starbucks",21.331357,-157.917236,33.225323,-117.392682,13757775.34
"1484","Starbucks",36.082093,-115.137773,36.100608,-115.102128,12504.23
"1485","Starbucks",38.693016,-121.5926,34.891325,-116.999202,1929495.95
"1486","Starbucks",30.203067,-81.385037,30.288642,-81.404689,31736.61
"1487","Starbucks",32.708125,-117.16575,32.711667,-117.170458,1938.59
"1488","Starbucks",38.185764,-85.74558,38.15757,-85.712838,13929.37
"1489","Starbucks",37.47456,-81.067374,37.811118,-81.1859,127269.73
"1490","Starbucks",26.2146,-97.6854,25.922155,-97.484668,125066.26
"1491","Starbucks",38.741402,-90.360925,38.742425,-90.365649,1398.02
"1492","Starbucks",33.435433,-111.998099,33.421053,-111.960497,12609.88
"1493","Starbucks",42.855,-74.1258,42.854206,-74.009499,31187.75
"1494","Starbucks",41.979112,-87.906265,41.97545,-87.901254,1907.21
"1495","Starbucks",38.7869,-84.9747,38.976129,-84.658838,113294.26
"1496","Starbucks",38.74222,-90.364133,38.742425,-90.365649,438.82
"1497","Starbucks",26.6623,-80.0909,26.673141,-80.087171,4124.72
"1498","Starbucks",41.297025,-72.763271,41.296891,-72.765736,679.12
"1499","Starbucks",38.895676,-77.029233,38.898187,-77.028406,944.36
"1500","Starbucks",38.400563,-79.995833,37.931327,-79.232003,278261.08
"1501","Starbucks",38.742683,-90.366385,38.742934,-90.367083,219.08
"1502","Starbucks",61.176563,-149.97307,41.159306,-111.940207,11112159.92
"1503","Starbucks",36.085807,-115.149558,36.05488,-115.1691,12653.82
"1504","Starbucks",35.96265,-83.919985,35.906778,-83.834234,32529.93
"1505","Starbucks",42.88416,-85.530779,43.036613,-85.617668,60237.61
"1506","Starbucks",33.946958,-118.401166,33.225323,-117.392682,404095.24
"1507","Starbucks",40.3118,-74.5238,40.278958,-74.532424,12204.08
"1508","Starbucks",39.360321,-74.41639,39.358088,-74.421537,1667.25
"1509","Starbucks",42.234647,-88.841709,42.088256,-88.530165,99905.67
"1510","Starbucks",41.953026,-87.881012,41.953502,-87.885314,1183.01
"1511","Starbucks",34.727867,-92.220896,34.817479,-92.238577,33045.26
"1512","Starbucks",40.176568,-74.635979,40.192094,-74.64272,5961.5
"1513","Starbucks",40.559589,-74.265044,40.564472,-74.257206,2812.06
"1514","Starbucks",42.329222,-83.040563,42.339615,-83.047516,4228.53
"1515","Starbucks",30.336488,-86.163121,30.37965,-86.355531,62686.17
"1516","Starbucks",40.848878,-115.747617,40.712532,-112.024319,1032273
"1517","Starbucks",41.850644,-87.953503,41.860272,-87.971511,6031.45
"1518","Starbucks",32.284588,-90.07379,32.268372,-90.135498,19964.5
"1519","Starbucks",39.607616,-105.943827,40.033534,-105.259177,247096.24
"1520","Starbucks",38.788768,-90.413529,38.742934,-90.367083,21308.69
"1521","Starbucks",42.948112,-87.901512,42.958792,-87.911708,4754.35
"1522","Starbucks",47.439159,-122.297619,41.159306,-111.940207,3543545.11
"1523","Starbucks",47.441908,-122.303595,41.159306,-111.940207,3545330.42
"1524","Starbucks",38.9987,-77.43369,38.978161,-77.410423,9985.19
"1525","Starbucks",42.929417,-71.45176,42.92781,-71.43765,3824.23
"1526","Starbucks",28.432959,-81.31107,28.431205,-81.30866,1003.37
"1527","Starbucks",35.225266,-80.92908,35.228689,-80.867052,18567.91
"1528","Starbucks",29.984296,-95.33207,29.985234,-95.333648,604.96
"1529","Starbucks",21.331911,-157.920202,33.225323,-117.392682,13758582.42
"1530","Starbucks",29.946683,-95.407535,29.985234,-95.333648,27276.53
"1531","Starbucks",34.178498,-118.603603,33.225323,-117.392682,505919.1
"1532","Starbucks",39.055639,-84.656375,39.02366,-84.607998,18013.72
"1533","Starbucks",42.370131,-71.019672,42.36961,-71.01897,268.4
"1534","Starbucks",42.36205,-71.019871,42.36128,-71.01787,609.29
"1535","Starbucks",35.046107,-85.310724,35.096472,-85.328224,19065.4
"1536","Starbucks",41.893229,-87.623298,41.892827,-87.622635,232.48
"1537","Starbucks",29.944075,-90.06433,29.880528,-90.051045,23491.31
"1538","Starbucks",40.735419,-114.044845,40.712532,-112.024319,560103.6
"1539","Starbucks",42.359776,-71.05213,42.358424,-71.051296,541.84
"1540","Starbucks",39.329975,-74.499385,39.353813,-74.448063,16914.38
"1541","Starbucks",39.800406,-89.646118,39.801107,-89.686516,11353.74
"1542","Starbucks",41.472154,-87.328362,41.471412,-87.361832,9176.65
"1543","Starbucks",36.115214,-115.165481,36.113777,-115.119562,13573.84
"1544","Starbucks",33.946481,-118.384511,33.225323,-117.392682,400140.27
